Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_08270,orf19.4735	NG	0.0479071	0.54004	0.0887104	3.33644e-36	1050	231.196	818.804	NA	127	89	38	NA	NA	0.156268	1:1:1:1:1:1	0.36619(0.42:0.332857:0.345714)	NA	NA	NA	NA
Cd36_08280,orf19.4736	NG	0.0253675	0.473834	0.0535367	9.83221e-63	1653	370.09	1282.91	NA	162	130	32	NA	NA	0.125775	1:1:1:1:1:1	0.38536(0.449183:0.378403:0.328494)	NA	NA	NA	NA
Cd36_08290,orf19.4737	NG	0.0446169	0.42333	0.105395	6.13496e-46	1689	388.47	1300.53	NA	182	125.667	56.3333	NA	NA	0.131721	1:1:1:1:1:1	0.36201(0.399489:0.398637:0.287905)	NA	NA	NA	NA
Cd36_08300,orf19.4738	NG	0.0428275	0.559696	0.0765193	1.16921e-61	1668	358.775	1309.23	NA	196	141.5	54.5	NA	NA	0.154002	1:1:1:1:1:1	0.351553(0.379928:0.323477:0.351254)	NA	NA	NA	NA
Cd36_08310,orf19.4739	NG	0.123829	0.442514	0.27983	4.06481e-25	1998	431.298	1566.7	NA	323	144.167	178.833	NA	NA	0.192622	1:1:1:1:1:1	0.353543(0.431886:0.343563:0.28518)	NA	NA	NA	NA
Cd36_08320,orf19.4740	NG	0.0795478	0.513973	0.15477	4.81757e-16	630	139.768	490.232	NA	89	52	37	NA	NA	0.175927	1:1:1:1:1:1	0.356349(0.461905:0.295238:0.311905)	NA	NA	NA	NA
Cd36_08330,orf19.4741	NG	0.119234	0.709017	0.168168	3.49819e-12	441	87.2231	353.777	NA	79	40	39	NA	NA	0.235884	1:1:1:1:1:1	0.345721(0.452703:0.307432:0.277027)	NA	NA	NA	NA
Cd36_08340,orf19.4742	NG	0.0559271	0.456911	0.122402	3.28042e-27	1062	217.73	844.27	NA	120	74.5	45.5	NA	NA	0.138136	1:1:1:1:1:1	0.33561(0.405738:0.254098:0.346995)	NA	NA	NA	NA
Cd36_08350,orf19.4743	NG	0.04138	0.57743	0.0716624	1.45184e-78	2064	432.903	1631.1	NA	240	174.333	65.6667	NA	NA	0.153811	1:1:1:1:1:1	0.359458(0.423077:0.32148:0.333817)	NA	NA	NA	NA
Cd36_08360,orf19.4744	NG	0.0327309	0.63169	0.0518148	2.34132e-100	2205	466.882	1738.12	NA	255	199.333	55.6667	NA	NA	0.159553	1:1:1:1:1:1	0.366893(0.413605:0.366667:0.320408)	NA	NA	NA	NA
Cd36_08370,orf19.4746	NG	0.0366111	0.590863	0.061962	7.40849e-67	1617	343.628	1273.37	NA	186	140.5	45.5	NA	NA	0.154395	1:1:1:1:1:1	0.356795(0.454296:0.332724:0.283364)	NA	NA	NA	NA
Cd36_08380,orf19.4747	NG	0.0270476	0.349493	0.0773908	5.754e-42	1593	350.795	1242.2	NA	131	98	33	NA	NA	0.0980535	1:1:1:1:1:1	0.305085(0.399247:0.311676:0.204331)	NA	NA	NA	NA
Cd36_08390,orf19.4748	NG	0.0693908	0.498995	0.139061	2.91388e-11	393	83.6944	309.306	NA	51	30.5	20.5	NA	NA	0.160881	1:1:1:1:1:1	0.287532(0.389313:0.229008:0.244275)	NA	NA	NA	NA
Cd36_08400,orf19.4749	NG	0.0492526	0.38142	0.12913	2.19978e-36	1614	362.344	1251.66	NA	168	108.333	59.6667	NA	NA	0.123824	1:1:1:1:1:1	0.330106(0.402289:0.367958:0.22007)	NA	NA	NA	NA
Cd36_08410,orf19.4750	NG	0.0849304	0.479068	0.177283	1.03203e-40	2082	419.445	1662.55	NA	282	148.5	133.5	NA	NA	0.164334	1:1:1:1:1:1	0.247881(0.314972:0.263418:0.165254)	NA	NA	NA	NA
Cd36_08420,orf19.4751	NG	0.0516247	0.196516	0.2627	4.62461e-07	861	171.122	689.878	NA	64	29.5833	34.4167	NA	NA	0.0804215	1:1:1:1:1:1	0.25932(0.381579:0.302632:0.09375)	NA	NA	NA	NA
Cd36_08440,orf19.4752	NG	0.0917057	0.471764	0.194389	2.17535e-41	2190	477.395	1712.6	NA	315	167.167	147.833	NA	NA	0.174554	1:1:1:1:1:1	0.31652(0.375158:0.40227:0.172131)	NA	NA	NA	NA
Cd36_08450,orf19.4753	NG	0.0482111	0.367447	0.131206	1.17351e-70	3378	759.903	2618.1	NA	343	220.75	122.25	NA	NA	0.120025	1:1:1:1:1:1	0.320491(0.433108:0.383997:0.144369)	NA	NA	NA	NA
Cd36_08460,orf19.4754	NG	0.0245524	0.201238	0.122007	7.28267e-21	1500	320.111	1179.89	NA	85	56.5	28.5	NA	NA	0.0622584	1:1:1:1:1:1	0.280736(0.428994:0.328402:0.0848126)	NA	NA	NA	NA
Cd36_08480,orf19.4755	NG	0.0761804	0.325091	0.234335	6.13934e-33	2775	590.407	2184.59	NA	314	155.75	158.25	NA	NA	0.129139	1:1:1:1:1:1	0.314315(0.451245:0.360477:0.131224)	NA	NA	NA	NA
Cd36_08490,orf19.4756	NG	0.0645062	0.321956	0.200357	8.61056e-21	1464	312.622	1151.38	NA	153	81.8333	71.1667	NA	NA	0.119482	1:1:1:1:1:1	0.281568(0.358169:0.334829:0.151706)	NA	NA	NA	NA
Cd36_08500,orf19.4757	NG	0.112332	0.368854	0.304542	6.58175e-18	1719	377.827	1341.17	NA	250	110.083	139.917	NA	NA	0.168714	1:1:1:1:1:1	0.294624(0.374194:0.370968:0.13871)	NA	NA	NA	NA
Cd36_08510,orf19.4758	NG	0.0463922	0.201765	0.229931	3.42349e-07	714	158.278	555.722	NA	53	28	25	NA	NA	0.0808349	1:1:1:1:1:1	0.298039(0.354902:0.464706:0.0745098)	NA	NA	NA	NA
Cd36_08520,orf19.4759	NG	0.0373936	0.0756357	0.494391	0.117567	495	111.193	383.807	NA	22	8	14	NA	NA	0.045984	1:1:1:1:1:1	0.331313(0.375758:0.475758:0.142424)	NA	NA	NA	NA
Cd36_08530,orf19.4760	NG	0.118399	0.390157	0.303466	1.32523e-12	1176	242.437	933.563	NA	176	73.75	102.25	NA	NA	0.174423	1:1:1:1:1:1	0.234143(0.319838:0.257085:0.125506)	NA	NA	NA	NA
Cd36_08540,orf19.4761	NG	0.135159	0.477646	0.282969	3.6983e-22	1779	361.367	1417.63	NA	303	127.667	175.333	NA	NA	0.204729	1:1:1:1:1:1	0.275802(0.42:0.273333:0.134074)	NA	NA	NA	NA
Cd36_08550,orf19.4763	NG	0.0753986	0.198776	0.379315	0.000407611	624	138.4	485.6	NA	59	24.1667	34.8333	NA	NA	0.102763	1:1:1:1:1:1	0.233624(0.268559:0.344978:0.0873362)	NA	NA	NA	NA
Cd36_08560,orf19.4764	NG	0.0456382	0.342625	0.133202	3.84844e-65	3480	718.998	2761	NA	320	197.75	122.25	NA	NA	0.106998	1:1:1:1:1:1	0.267698(0.363712:0.300167:0.139214)	NA	NA	NA	NA
Cd36_08570,orf19.4765	NG	0.0629319	0.210463	0.299017	3.85586e-06	630	170.289	459.711	NA	59	31.25	27.75	NA	NA	0.102809	1:1:1:1:1:1	0.394216(0.456621:0.550228:0.175799)	NA	NA	NA	NA
Cd36_08580,orf19.4766	NG	0.102642	0.415622	0.246961	3.20534e-41	3126	645.856	2480.14	NA	444	206.083	237.917	NA	NA	0.167307	1:1:1:1:1:1	0.287102(0.372792:0.332155:0.15636)	NA	NA	NA	NA
Cd36_08600,orf19.4771	NG	0.151758	0.424308	0.35766	4.19032e-17	2088	407.863	1680.14	NA	363	132.167	230.833	NA	NA	0.204997	1:1:1:1:1:1	0.2465(0.358268:0.251969:0.129265)	NA	NA	NA	NA
Cd36_08610,orf19.4772	NG	0.0787751	0.279467	0.281876	3.70721e-11	1137	252.172	884.828	NA	125	58.8333	66.1667	NA	NA	0.123286	1:1:1:1:1:1	0.296798(0.371921:0.424877:0.0935961)	NA	NA	NA	NA
Cd36_08630,orf19.4773	NG	0.0355508	0.381651	0.09315	1.51483e-29	1092	242.379	849.621	NA	102	72.5	29.5	NA	NA	0.112371	1:1:1:1:1:1	0.332425(0.423706:0.400545:0.173025)	NA	NA	NA	NA
Cd36_08640,orf19.4774	NG	0.0478447	0.538604	0.0888309	3.68995e-39	1137	252.436	884.564	NA	138	97	41	NA	NA	0.156803	1:1:1:1:1:1	0.353899(0.419023:0.403599:0.239075)	NA	NA	NA	NA
Cd36_08650,orf19.4775	NG	0.0559741	0.54919	0.101921	1.86644e-70	2247	476.396	1770.6	NA	281	185.5	95.5	NA	NA	0.160543	1:1:1:1:1:1	0.365069(0.455959:0.358808:0.28044)	NA	NA	NA	NA
Cd36_08660,orf19.4776	NG	0.0864308	0.671505	0.128712	9.71956e-82	2622	566.139	2055.86	NA	419	251.167	167.833	NA	NA	0.212759	1:1:1:1:1:1	0.363568(0.479025:0.353741:0.257937)	NA	NA	NA	NA
Cd36_08670,orf19.4777	NG	0.0271121	0.460081	0.0589289	7.93755e-64	1785	395.479	1389.52	NA	173	136	37	NA	NA	0.123039	1:1:1:1:1:1	0.344203(0.460702:0.357023:0.214883)	NA	NA	NA	NA
Cd36_08680,orf19.4778	NG	0.041389	0.561634	0.0736939	2.01744e-77	2067	452.803	1614.2	NA	244	179	65	NA	NA	0.155355	1:1:1:1:1:1	0.34581(0.397599:0.350282:0.289548)	NA	NA	NA	NA
Cd36_08690,orf19.4779	NG	0.0500682	0.496435	0.100856	1.09239e-57	1860	431.926	1428.07	NA	226	156.833	69.1667	NA	NA	0.153723	1:1:1:1:1:1	0.363441(0.430645:0.375:0.284677)	NA	NA	NA	NA
Cd36_08700,orf19.4780	NG	0.0255367	0.369569	0.0690985	2.12426e-41	1368	332.424	1035.58	NA	123	97	26	NA	NA	0.109137	1:1:1:1:1:1	0.378457(0.412664:0.411572:0.311135)	NA	NA	NA	NA
Cd36_08710,orf19.4781	NG	0.0114721	0.579531	0.0197955	2.80108e-55	1011	220.472	790.528	NA	98	89	9	NA	NA	0.135351	1:1:1:1:1:1	0.350148(0.430267:0.339763:0.280415)	NA	NA	NA	NA
Cd36_08720,orf19.4783	NG	0.0639732	0.666068	0.096046	1.71384e-51	1422	296.77	1125.23	NA	200	131	69	NA	NA	0.18963	1:1:1:1:1:1	0.357947(0.437764:0.348101:0.287975)	NA	NA	NA	NA
Cd36_08730,orf19.4784	NG	0.0203058	0.549665	0.0369422	3.41635e-165	3591	795.667	2795.33	NA	366	310	56	NA	NA	0.137597	1:1:1:1:1:1	0.371067(0.452381:0.357143:0.303676)	NA	NA	NA	NA
Cd36_08740,orf19.4785	NG	0.0308521	0.473684	0.0651323	1.90303e-41	1125	264.817	860.183	NA	119	93	26	NA	NA	0.135091	1:1:1:1:1:1	0.420889(0.481333:0.441333:0.34)	NA	NA	NA	NA
Cd36_08750,orf19.4787	NG	0.126624	0.555905	0.227779	2.80141e-38	2166	462.307	1703.69	NA	380	181.5	198.5	NA	NA	0.218249	1:1:1:1:1:1	0.374557(0.46742:0.355718:0.300532)	NA	NA	NA	NA
Cd36_08760,orf19.4788	NG	0.0123781	0.421464	0.0293693	7.41101e-104	2571	575.321	1995.68	NA	210	185.5	24.5	NA	NA	0.103921	1:1:1:1:1:1	0.3662(0.435239:0.354726:0.308635)	NA	NA	NA	NA
Cd36_08770,orf19.4789	NG	0.0188791	0.698055	0.0270452	2.79075e-52	891	193.703	697.297	NA	101	88	13	NA	NA	0.166532	1:1:1:1:1:1	0.384961(0.47138:0.405724:0.277778)	NA	NA	NA	NA
Cd36_08780,orf19.4791	NG	0.0812866	0.576448	0.141013	2.46684e-74	2925	586.282	2338.72	NA	416	235.833	180.167	NA	NA	0.180536	1:1:1:1:1:1	0.311327(0.348516:0.281474:0.303992)	NA	NA	NA	NA
Cd36_08790,orf19.4792	NG	0.0669253	0.558641	0.1198	6.13711e-50	1671	366.847	1304.15	NA	228	144.5	83.5	NA	NA	0.174875	1:1:1:1:1:1	0.372252(0.371658:0.427807:0.317291)	NA	NA	NA	NA
Cd36_08800,orf19.4793	NG	0.0448383	0.206194	0.217457	3.98984e-06	576	116.487	459.513	NA	41	21	20	NA	NA	0.0774698	1:1:1:1:1:1	0.28727(0.376884:0.30402:0.180905)	NA	NA	NA	NA
Cd36_08810,orf19.4795	NG	0.0802925	0.530292	0.151412	1.89363e-80	3483	703.177	2779.82	NA	479	267.333	211.667	NA	NA	0.171142	1:1:1:1:1:1	0.326205(0.405475:0.280154:0.292985)	NA	NA	NA	NA
Cd36_08820,orf19.4796	NG	0.0198448	0.41068	0.0483217	1.93454e-18	516	107.514	408.486	NA	42	34	8	NA	NA	0.10128	1:1:1:1:1:1	0.358473(0.5:0.368715:0.206704)	NA	NA	NA	NA
Cd36_08830,orf19.4798	NG	0.0214014	0.524455	0.040807	3.55273e-121	2874	599.008	2274.99	NA	274	226	48	NA	NA	0.12625	1:1:1:1:1:1	0.345685(0.393528:0.323069:0.320459)	NA	NA	NA	NA
Cd36_08840,orf19.4799	NG	0.0920419	0.613795	0.149955	3.59553e-49	1830	398.43	1431.57	NA	291	167	124	NA	NA	0.205639	1:1:1:1:1:1	0.372757(0.49429:0.333605:0.290375)	NA	NA	NA	NA
Cd36_08850,orf19.4800	NG	0.0680551	0.555751	0.122456	1.25913e-66	2349	489.143	1859.86	NA	313	192	121	NA	NA	0.16961	1:1:1:1:1:1	0.33482(0.429299:0.292994:0.282166)	NA	NA	NA	NA
Cd36_08860,orf19.4801	NG	0.0383718	0.56615	0.0677768	1.85579e-53	1395	285.574	1109.43	NA	155	113.5	41.5	NA	NA	0.146415	1:1:1:1:1:1	0.343972(0.459574:0.27766:0.294681)	NA	NA	NA	NA
Cd36_08870,orf19.4802	NG	0.0235455	0.426493	0.0552072	3.35588e-44	1272	279.754	992.246	NA	114	91	23	NA	NA	0.112167	1:1:1:1:1:1	0.35456(0.389151:0.364387:0.310142)	NA	NA	NA	NA
Cd36_08880,orf19.4804	NG	0.0179694	0.221939	0.0809655	4.61057e-26	1398	327.93	1070.07	NA	82	63	19	NA	NA	0.0658148	1:1:1:1:1:1	0.391631(0.480687:0.42382:0.270386)	NA	NA	NA	NA
Cd36_08890,orf19.4805	NG	0.0171191	0.523488	0.0327019	1.54313e-120	2598	589.157	2008.84	NA	256	222	34	NA	NA	0.13195	1:1:1:1:1:1	0.37144(0.433025:0.354503:0.32679)	NA	NA	NA	NA
Cd36_08900,orf19.4807	NG	0.0274652	0.49257	0.0557589	3.38532e-38	972	211.851	760.149	NA	97	76.5	20.5	NA	NA	0.128836	1:1:1:1:1:1	0.348765(0.419753:0.368827:0.257716)	NA	NA	NA	NA
Cd36_08910,orf19.4808	NG	0.0324056	0.57775	0.0560893	1.52816e-204	4926	1058.28	3867.72	NA	549	426.333	122.667	NA	NA	0.149565	1:1:1:1:1:1	0.33922(0.369062:0.318514:0.330085)	NA	NA	NA	NA
Cd36_08920,orf19.4809	NG	0.0190139	0.573172	0.0331731	1.84241e-65	1293	289.887	1003.11	NA	135	116.167	18.8333	NA	NA	0.143255	1:1:1:1:1:1	0.383991(0.440835:0.386311:0.324826)	NA	NA	NA	NA
Cd36_08930,orf19.4811	NG	0.0140367	0.499595	0.0280961	9.58907e-48	984	228.937	755.063	NA	94	83.5	10.5	NA	NA	0.127006	1:1:1:1:1:1	0.385671(0.405488:0.419207:0.332317)	NA	NA	NA	NA
Cd36_08940,orf19.4812	NG	0.0355777	0.693125	0.0513295	7.22018e-21	405	88.4264	316.574	NA	51	40	11	NA	NA	0.179144	1:1:1:1:1:1	0.408642(0.481481:0.337037:0.407407)	NA	NA	NA	NA
Cd36_08950,orf19.4813	NG	0.00243449	0.321477	0.00757281	7.47688e-61	1590	355.705	1234.29	NA	96	93	3	NA	NA	0.0738088	1:1:1:1:1:1	0.388365(0.503774:0.360377:0.300943)	NA	NA	NA	NA
Cd36_08960,orf19.4814	NG	0.0120003	0.510658	0.0234996	9.74017e-18	333	81	252	NA	33	30	3	NA	NA	0.133295	1:1:1:1:1:1	0.357357(0.328829:0.477477:0.265766)	NA	NA	NA	NA
Cd36_08970,orf19.4815	NG	0.02025	0.436426	0.0463997	1.05338e-53	1398	321.875	1076.12	NA	128	106.5	21.5	NA	NA	0.11607	1:1:1:1:1:1	0.371877(0.440043:0.394004:0.281585)	NA	NA	NA	NA
Cd36_08980,orf19.4816	NG	0.0411875	0.612404	0.0672555	7.28371e-56	1347	290.699	1056.3	NA	164	121.667	42.3333	NA	NA	0.164463	1:1:1:1:1:1	0.354863(0.414254:0.324053:0.326281)	NA	NA	NA	NA
Cd36_08990,orf19.4817	NG	0.0439976	0.573516	0.0767156	9.9103e-34	918	180.847	737.153	NA	104	72.5	31.5	NA	NA	0.148314	1:1:1:1:1:1	0.317538(0.385621:0.277778:0.289216)	NA	NA	NA	NA
Cd36_09000,orf19.4818	NG	0.0482813	0.388926	0.12414	9.94317e-37	1545	365.219	1179.78	NA	166	110.833	55.1667	NA	NA	0.128806	1:1:1:1:1:1	0.374451(0.400188:0.451977:0.271186)	NA	NA	NA	NA
Cd36_09010,orf19.4820	NG	0.0122111	0.639981	0.0190805	8.64898e-94	1620	340.304	1279.7	NA	162	146.5	15.5	NA	NA	0.144083	1:1:1:1:1:1	0.34784(0.408333:0.330556:0.30463)	NA	NA	NA	NA
Cd36_09020,orf19.4821	NG	0.0418885	0.622256	0.0673172	2.2046e-60	1404	323.987	1080.01	NA	181	137	44	NA	NA	0.175814	1:1:1:1:1:1	0.394231(0.449786:0.419872:0.313034)	NA	NA	NA	NA
Cd36_09030,orf19.4822	NG	0.0548653	0.531228	0.10328	9.6171e-46	1395	327.08	1067.92	NA	181	124.5	56.5	NA	NA	0.166556	1:1:1:1:1:1	0.386738(0.434409:0.431183:0.294624)	NA	NA	NA	NA
Cd36_09040,orf19.4823	NG	0.0266686	0.430978	0.0618794	7.92872e-48	1389	320.3	1068.7	NA	133	105	28	NA	NA	0.119901	1:1:1:1:1:1	0.393449(0.457883:0.420086:0.302376)	NA	NA	NA	NA
Cd36_09050,orf19.4824	NG	0.0639793	0.691993	0.0924565	1.00573e-30	816	163.752	652.248	NA	114	74	40	NA	NA	0.190007	1:1:1:1:1:1	0.357843(0.363971:0.301471:0.408088)	NA	NA	NA	NA
Cd36_09060,orf19.4825	NG	0.024731	0.70306	0.0351761	3.46432e-25	462	92.0507	369.949	NA	51	42	9	NA	NA	0.159884	1:1:1:1:1:1	0.319264(0.363636:0.246753:0.347403)	NA	NA	NA	NA
Cd36_09080,orf19.4827	NG	0.00401996	0.450763	0.00891811	4.81961e-64	1284	286.296	997.704	NA	101	97	4	NA	NA	0.103631	1:1:1:1:1:1	0.390576(0.468458:0.364486:0.338785)	NA	NA	NA	NA
Cd36_09090,orf19.4828	NG	0.0877088	0.556155	0.157706	4.47932e-37	1521	322.965	1198.03	NA	226	126.833	99.1667	NA	NA	0.187177	1:1:1:1:1:1	0.366211(0.375977:0.333008:0.389648)	NA	NA	NA	NA
Cd36_09100,orf19.4829	NG	0.0433548	0.588671	0.0736486	2.91232e-88	2283	502.606	1780.39	NA	280	205	75	NA	NA	0.163407	1:1:1:1:1:1	0.374946(0.43268:0.353595:0.338562)	NA	NA	NA	NA
Cd36_09110,orf19.4830	NG	0.0475993	0.573929	0.0829359	7.386e-13	330	69.811	260.189	NA	40	28	12	NA	NA	0.158944	1:1:1:1:1:1	0.34697(0.409091:0.286364:0.345455)	NA	NA	NA	NA
Cd36_09120,orf19.4831	NG	0.00496475	0.334005	0.0148643	4.68714e-56	1539	326.476	1212.52	NA	94	88	6	NA	NA	0.0747657	1:1:1:1:1:1	0.382716(0.397661:0.39961:0.350877)	NA	NA	NA	NA
Cd36_09130,orf19.4833	NG	0.00622097	0.273935	0.0227096	8.9939e-49	1653	361.686	1291.31	NA	91	83	8	NA	NA	0.0647983	1:1:1:1:1:1	0.403206(0.452813:0.382033:0.374773)	NA	NA	NA	NA
Cd36_09140,orf19.4834	NG	0.0790304	0.559235	0.141319	9.43027e-19	702	142.067	559.933	NA	98	56	42	NA	NA	0.176212	1:1:1:1:1:1	0.301802(0.357143:0.262548:0.285714)	NA	NA	NA	NA
Cd36_09150,orf19.4835	NG	0.0085229	0.533109	0.0159872	7.67448e-84	1581	342.012	1238.99	NA	141	130.5	10.5	NA	NA	0.122005	1:1:1:1:1:1	0.387729(0.48482:0.357685:0.320683)	NA	NA	NA	NA
Cd36_09160,orf19.4836	NG	0.00883126	0.580366	0.0152167	4.79833e-77	1332	306.882	1025.12	NA	133	124	9	NA	NA	0.140508	1:1:1:1:1:1	0.381381(0.443694:0.382883:0.317568)	NA	NA	NA	NA
Cd36_09170,orf19.4837	NG	0.0462342	0.508175	0.0909809	1.28053e-27	831	184.226	646.774	NA	97	68	29	NA	NA	0.148643	1:1:1:1:1:1	0.389892(0.435018:0.435018:0.299639)	NA	NA	NA	NA
Cd36_09180,orf19.4839	NG	0.0529997	0.429718	0.123336	2.75889e-23	894	200.239	693.761	NA	101	65.5	35.5	NA	NA	0.137378	1:1:1:1:1:1	0.384275(0.476744:0.360465:0.315615)	NA	NA	NA	NA
Cd36_09190,orf19.4841	NG	0.0304335	0.549563	0.0553776	7.52279e-45	1077	233.169	843.831	NA	116	90.8333	25.1667	NA	NA	0.142824	1:1:1:1:1:1	0.380687(0.451253:0.362117:0.328691)	NA	NA	NA	NA
Cd36_09200,orf19.4842	NG	0.0151347	0.369152	0.0409985	3.57598e-12	339	72.0309	266.969	NA	25	21	4	NA	NA	0.0903566	1:1:1:1:1:1	0.351032(0.402655:0.362832:0.287611)	NA	NA	NA	NA
Cd36_09210,orf19.4843	NG	0.0336353	0.551115	0.0610313	3.24056e-87	2193	475.268	1717.73	NA	242	185.5	56.5	NA	NA	0.145784	1:1:1:1:1:1	0.353397(0.381669:0.342681:0.335841)	NA	NA	NA	NA
Cd36_09220,orf19.4844	NG	0.0514466	0.432738	0.118886	2.70938e-29	1140	248.372	891.628	NA	126	81.6667	44.3333	NA	NA	0.134519	1:1:1:1:1:1	0.414698(0.414698:0.484252:0.345144)	NA	NA	NA	NA
Cd36_09230,orf19.4845	NG	0.0177331	0.357476	0.0496063	2.0908e-17	519	119.572	399.428	NA	41	34	7	NA	NA	0.096006	1:1:1:1:1:1	0.343931(0.413295:0.355491:0.263006)	NA	NA	NA	NA
Cd36_09240,orf19.4846	NG	0.0052437	0.421654	0.012436	1.89183e-57	1239	282.138	956.862	NA	96	91	5	NA	NA	0.100066	1:1:1:1:1:1	0.400323(0.485472:0.37046:0.345036)	NA	NA	NA	NA
Cd36_09250,orf19.4848	NG	0.0316963	0.556784	0.0569275	1.48818e-168	4197	894.369	3302.63	NA	454	351.5	102.5	NA	NA	0.143591	1:1:1:1:1:1	0.359643(0.4525:0.32:0.306429)	NA	NA	NA	NA
Cd36_09260,orf19.4849	NG	0.0372352	0.415023	0.0897183	8.50232e-28	981	210.202	770.798	NA	95	67	28	NA	NA	0.118185	1:1:1:1:1:1	0.334835(0.375375:0.345345:0.283784)	NA	NA	NA	NA
Cd36_09270,orf19.4850	NG	0.0203871	0.390947	0.052148	3.86614e-58	1836	369.249	1466.75	NA	142	112.5	29.5	NA	NA	0.0949127	1:1:1:1:1:1	0.313409(0.386914:0.285137:0.268174)	NA	NA	NA	NA
Cd36_09280,orf19.4851	NG	0.0162923	0.393908	0.0413606	2.29238e-41	1182	251.283	930.717	NA	92	77	15	NA	NA	0.0965703	1:1:1:1:1:1	0.377327(0.494924:0.350254:0.286802)	NA	NA	NA	NA
Cd36_09290,orf19.4853	NG	0.0593511	0.501517	0.118343	8.33181e-49	1710	386.913	1323.09	NA	217	141.5	75.5	NA	NA	0.159398	1:1:1:1:1:1	0.379023(0.405172:0.414655:0.317241)	NA	NA	NA	NA
Cd36_09300,orf19.4855	NG	0.0114509	0.311754	0.0367306	2.24338e-14	450	98.0094	351.991	NA	29	25	4	NA	NA	0.0768566	1:1:1:1:1:1	0.333333(0.363333:0.403333:0.233333)	NA	NA	NA	NA
Cd36_09310,orf19.4856	NG	0.109131	0.650606	0.167738	2.82158e-38	1407	327.209	1079.79	NA	252	142.333	109.667	NA	NA	0.235055	1:1:1:1:1:1	0.392781(0.474522:0.403397:0.300425)	NA	NA	NA	NA
Cd36_09320,orf19.4857	NG	0.024842	0.663679	0.0374308	3.73957e-41	816	161.204	654.796	NA	87	71	16	NA	NA	0.151047	1:1:1:1:1:1	0.353554(0.336397:0.314338:0.409926)	NA	NA	NA	NA
Cd36_09330,orf19.4858	NG	0.0635448	0.604156	0.105179	1.54964e-93	2883	608.43	2274.57	NA	391	252.417	138.583	NA	NA	0.177636	1:1:1:1:1:1	0.356525(0.441329:0.300623:0.327622)	NA	NA	NA	NA
Cd36_09340,orf19.4861	NG	0.0721338	0.48956	0.147344	1.10483e-19	798	165.489	632.511	NA	103	59.5	43.5	NA	NA	0.1587	1:1:1:1:1:1	0.320466(0.345588:0.352941:0.262868)	NA	NA	NA	NA
Cd36_09350,orf19.4862	NG	0.0774258	0.382842	0.20224	1.78994e-10	582	133.407	448.593	NA	73	40	33	NA	NA	0.147434	1:1:1:1:1:1	0.287571(0.328814:0.335593:0.198305)	NA	NA	NA	NA
Cd36_09370,orf19.4863	NG	0.0415377	0.516983	0.0803464	1.39742e-84	2460	542.084	1917.92	NA	280	202.5	77.5	NA	NA	0.146307	1:1:1:1:1:1	0.351874(0.423445:0.361842:0.270335)	NA	NA	NA	NA
Cd36_09380,orf19.4864	NG	0.0181605	0.381004	0.047665	8.82225e-30	912	187.461	724.539	NA	69	56	13	NA	NA	0.0927427	1:1:1:1:1:1	0.302083(0.407895:0.282895:0.215461)	NA	NA	NA	NA
Cd36_09390,orf19.4865	NG	0.0190063	0.320975	0.0592144	1.89031e-49	1854	388.703	1465.3	NA	129	101.5	27.5	NA	NA	0.0823159	1:1:1:1:1:1	0.275538(0.354839:0.307258:0.164516)	NA	NA	NA	NA
Cd36_09400,orf19.4866	NG	0.0599935	0.524836	0.114309	2.14749e-52	1770	396.931	1373.07	NA	229	149.833	79.1667	NA	NA	0.164237	1:1:1:1:1:1	0.353713(0.350084:0.416248:0.294807)	NA	NA	NA	NA
Cd36_09410,orf19.4867	NG	0.0490783	0.598049	0.0820641	1.428e-128	3519	750.985	2768.01	NA	441	309.5	131.5	NA	NA	0.166233	1:1:1:1:1:1	0.352775(0.395182:0.376585:0.28656)	NA	NA	NA	NA
Cd36_09420,orf19.4869	NG	0.0601947	0.460459	0.130728	2.74397e-40	1518	364.002	1154	NA	192	125.25	66.75	NA	NA	0.156174	1:1:1:1:1:1	0.390137(0.428839:0.5103:0.231273)	NA	NA	NA	NA
Cd36_09430,orf19.4870	NG	0.0207863	0.410591	0.0506254	6.99504e-55	1587	343.154	1243.85	NA	134	108.5	25.5	NA	NA	0.105073	1:1:1:1:1:1	0.313264(0.383072:0.328098:0.228621)	NA	NA	NA	NA
Cd36_09440,orf19.4871	NG	0.0263495	0.334456	0.0787833	1.78319e-42	1725	353.922	1371.08	NA	131	95.5	35.5	NA	NA	0.0895643	1:1:1:1:1:1	0.312644(0.412069:0.318966:0.206897)	NA	NA	NA	NA
Cd36_09450,orf19.4872	NG	0.0721412	0.359673	0.200574	2.69625e-13	816	165.377	650.623	NA	92	47.25	44.75	NA	NA	0.130415	1:1:1:1:1:1	0.242729(0.244966:0.308725:0.174497)	NA	NA	NA	NA
